scenario,scenario_name,scenario_path,seed,ignition_pos,total_decision_steps,total_minutes,mission_hours,burnt_area_m2,fire_cost_eur,casualties,emissions_tonnes,moe_cumulative_reward,propagation_factor,episode_reward_sum,wall_seconds,run,policy_type,policy_name,policy_source
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,586626705,"(77837.88826746336, 111010.28282803763)",7,70.0,1.1666666666666667,10166575.0,20637258.55,4236.0,294434.95,-0.16290619380933868,1.0,-1.1472739127940248,54.32724310783669,13,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1777477784,"(78766.55915378255, 110722.85299657471)",11,110.0,1.8333333333333333,7855325.0,4018749.03,3540.0,158869.38,-0.12511866335971367,1.0,-1.1210885161431963,48.937495993915945,14,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,551886180,"(78957.75610096591, 110079.55765949003)",7,70.0,1.1666666666666667,164200.0,188402.0,29.0,8666.1,0.9979428080228024,0.0,-0.0018053730343898788,15.926505728624761,15,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,878748453,"(78309.05217302237, 110428.5795976948)",13,130.0,2.1666666666666665,10517050.0,14497145.1,4215.0,272948.83,-0.1609030174454661,1.0,-1.157085479052427,65.2350207818672,16,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1382612244,"(79381.12076972908, 109484.16729431786)",19,190.0,3.1666666666666665,17459525.0,7437515.75,7576.0,283692.44,-0.263427822446068,1.0,-1.2624730691934958,114.46414744807407,17,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1180243456,"(80234.6785696548, 110818.662940396)",6,60.0,1.0,129175.0,51036.6,83.0,1521.29,0.9974384425100281,0.0,-0.001967070341161281,16.840122633147985,18,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,184123696,"(79080.66842415523, 108984.58687296323)",22,220.0,3.6666666666666665,15361750.0,5569771.2,6953.0,200667.08,-0.2337690582620635,1.0,-1.233432333996284,122.94210510514677,19,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,59182744,"(79032.86918735938, 110784.44510331657)",12,120.0,2.0,7508400.0,3748608.52,3572.0,146092.82,-0.12369096033442784,1.0,-1.1212656665774638,47.23064113082364,20,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1858836761,"(79811.31390089165, 110202.74187297467)",18,180.0,3.0,14377775.0,5408428.38,6845.0,193956.46,-0.2278818215634204,1.0,-1.2273448867986088,93.19469150481746,21,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1618157078,"(78302.22371062296, 111030.81353028491)",9,90.0,1.5,9914300.0,9709501.95,3899.0,287305.37,-0.15293658730301263,1.0,-1.1512175919333263,50.2275851322338,22,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1799343697,"(79326.49307053383, 108765.59271566011)",20,200.0,3.3333333333333335,14387375.0,5302349.35,6459.0,193069.68,-0.21816067958395213,1.0,-1.2174524999113312,103.87995923310518,23,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1155653964,"(78985.06995056354, 109080.39681678545)",21,210.0,3.5,13810175.0,6181366.78,5556.0,241145.58,-0.19923025924904958,1.0,-1.1986486216990708,90.09995800117031,24,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1755663523,"(79681.57311530293, 108375.50937295984)",20,200.0,3.3333333333333335,16828475.0,6175073.5,7757.0,223035.56,-0.25993285851722847,1.0,-1.2595470106762205,109.56649072980508,25,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,708093468,"(78472.93527060811, 109703.16145162191)",14,140.0,2.3333333333333335,9566050.0,5662921.15,3719.0,235738.82,-0.14204958444691584,1.0,-1.1407272833824154,60.799661826808006,26,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,972122756,"(79906.91237448332, 110791.28867073078)",2,20.0,0.3333333333333333,39700.0,6246.8,22.0,11.16,0.9993488614458045,0.0,-0.0003053187036767824,8.39222254185006,27,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,1693137747,"(79906.91237448332, 109347.29594600014)",20,200.0,3.3333333333333335,15194025.0,5829780.15,6455.0,217873.46,-0.22272041868348402,1.0,-1.2133637854294985,107.67245022859424,28,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
Pyrenees,Pyrenees5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Pyrenees5sp5ev.json,266112162,"(79490.37616811958, 108608.19066509604)",21,210.0,3.5,13639350.0,4531902.65,6040.0,159611.24,-0.20225471632538683,1.0,-1.2018694556018192,101.44513898296282,29,ppo_model,arm1_palisades_only,final_evaluation/models/arm1_palisades_only.zip
