policy_type,policy_name,scenario_name,runs,mean_burnt_area_m2,mean_cost_eur,mean_casualties,mean_emissions_tonnes,mean_mission_h,mean_moe
ppo_model,arm1_palisades_only,Palisades5sp5ev.json,250,1935869.0,96115596.31067997,1816.672,1305.3884400000002,3.0693333333333337,0.9625474939688989
ppo_model,arm2_pyrenees_only,Palisades5sp5ev.json,250,2155363.5,106712769.22508001,2025.716,1575.33308,3.579333333333333,0.9572412760015531
ppo_model,arm3_even_split_75_75,Palisades5sp5ev.json,250,2230460.4,117825980.58199999,2166.592,1711.5436000000004,3.5606666666666666,0.9526432359844157
ppo_model,arm4_pal25k_pyr125k,Palisades5sp5ev.json,250,2355232.5,110746858.28835998,2153.26,1624.75512,3.8486666666666673,0.9564856799747168
ppo_model,arm5_concurrent,Palisades5sp5ev.json,250,1606660.3,92305316.00020003,1642.508,1162.85188,2.901333333333335,0.9838748805316218
ppo_model,arm6_palisades_multiweight,Palisades5sp5ev.json,250,1786984.0,87802809.62864,1674.884,1210.72444,3.104666666666666,0.9752664832006037
fixed_tactic,fixed_Pyrenees5sp5ev_heuristic,Palisades5sp5ev.json,250,3932065.7,170502631.58939987,3425.044,2593.91216,5.244666666666668,0.8971631531187759
random_tactic,random_tactics,Palisades5sp5ev.json,250,3648450.0,163475944.1597199,3223.512,2448.1684799999994,4.836,0.8743982292934565
