scenario,scenario_name,scenario_path,seed,ignition_pos,total_decision_steps,total_minutes,mission_hours,burnt_area_m2,fire_cost_eur,casualties,emissions_tonnes,moe_cumulative_reward,propagation_factor,episode_reward_sum,wall_seconds,run,policy_type,policy_name,policy_source
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,52603344,"(63612.602516026236, 90068.08448332455)",14,140.0,2.3333333333333335,1095550.0,1339795.25,692.0,60197.91,0.9434592297973587,0.0,-0.047998539252119055,30.214127560146153,199,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1557556871,"(64409.18069893075, 89699.60623782407)",13,130.0,2.1666666666666665,1006225.0,1136857.25,982.0,48731.91,0.9359327990101421,0.0,-0.029407259447731926,31.313633147161454,200,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1083895608,"(64895.97847737325, 91287.87453739531)",11,110.0,1.8333333333333333,669400.0,935394.88,106.0,44264.26,0.9760317057340009,0.0,-0.018429496579272286,23.59887408418581,201,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1404166565,"(64927.588722726796, 89966.43531215191)",9,90.0,1.5,507800.0,522702.88,764.0,20548.9,0.9579004382543983,0.0,-0.02306846332833512,21.219097731634974,202,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,342239673,"(63909.73882234795, 90963.86780428328)",12,120.0,2.0,690525.0,939899.0,270.0,43506.6,0.9693361938868542,0.0,-0.021040599660132053,28.294543225783855,203,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,926052391,"(64383.892502648756, 90906.69014549814)",21,210.0,3.5,1737475.0,2255026.12,622.0,104544.5,0.9269614741807647,0.0,-0.05699268473567598,46.39432981191203,204,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1897149460,"(64921.26667365618, 91383.17063536867)",7,70.0,1.1666666666666667,301550.0,450822.75,33.0,21441.69,0.9892911267995166,0.0,-0.005729199114558714,16.91888195089996,205,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1862556602,"(64472.401189637836, 90773.27560833562)",18,180.0,3.0,1522425.0,1957321.75,612.0,90315.57,0.9336622469942963,0.0,-0.050377929585734726,39.90545367775485,206,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,679324648,"(65085.639949493576, 90481.03424121346)",13,130.0,2.1666666666666665,466175.0,697283.12,178.0,32407.82,0.978412750218,0.0,-0.013692940562159306,23.928742496296763,207,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1357499827,"(64238.48537402321, 90614.44877837878)",27,270.0,4.5,2047025.0,2524265.5,1222.0,113902.5,0.8968135364582878,0.0,-0.08828569253343665,54.05427908990532,208,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,180696884,"(64485.04528777907, 91427.64214775898)",10,100.0,1.6666666666666667,609275.0,855147.25,90.0,40508.31,0.9783774463168101,0.0,-0.011601755917796108,21.63632131414488,209,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,1740050920,"(63441.907191118225, 89439.13023669459)",11,110.0,1.8333333333333333,650075.0,674360.0,932.0,26833.2,0.9478394661084777,0.0,-0.0362759588131788,25.07254100497812,210,random_tactic,random_tactics,random
Salamis,Salamis5sp5ev.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Salamis5sp5ev.json,575813192,"(64984.4871643628, 89369.24643151369)",7,70.0,1.1666666666666667,279350.0,315211.12,424.0,12609.5,0.9762282114665468,0.0,-0.014893029096529786,16.508330774027854,211,random_tactic,random_tactics,random
